School_Name,Address,City_Town,Postal_Code,School_Board,School_ID,Breakfast,Lunch,Snack
 St. Andrew's Senior Public School ,65 Victoria Ave, Cambridge   ,N1S1X2,Waterloo Region DSB,528781,Yes,,
McKenzie-Smith Bennett,69 Acton Blvd,Acton,L7J2H4,Halton DSB,353183,Yes,,
McKenzie-Smith Bennett,69 Acton Blvd,Acton,L7J2H5,Halton DSB,353183,Yes,,
McKenzie-Smith Bennett,69 Acton Blvd,Acton,L7J2H4,Halton DSB,353183,Yes,,
Robert Little,41 School Lane,Acton,L7J1B9,Halton DSB,487570,Yes,,
Robert Little,41 School Lane,Acton,L7J1B9,Halton DSB,487570,Yes,,
St. Joseph Acton,147 Mill,Acton,L7J1G7,Halton CDSB,809144,Yes,,
Meadowview PS,9234 Addison-Greenbush Road RR 2,Addison,K0E1A0,Upper Canada DSB,356417,Yes,,
Agincourt CI,2621 Midland Ave,Agincourt,M1S1R6,Toronto DSB,890723,Yes,,Yes
L'Amoreaux Collegiate Institute,2501 Bridletowne Circle,Agincourt,M1W2K1,Toronto DSB,920576,Yes,Yes, 
Ajax High School,105 Bayly St E,Ajax,L1S1P2,Durham DSB,890855,Yes,,
Applecroft Public School,55 Coles Ave,Ajax,L1T3H5,Durham DSB,20036,Yes,,
Archbishop Anthony Meagher Catholic Continuing Education Centre,692 King St E,Ajax,L1S1R6,Durham CDSB,992259,Yes,,
Archbishop Denis O'Connor C.H.S.,80 Mandrake St,Ajax,L1H5H4,Durham CDSB,703923,Yes,,
Bolton C. Falby Public School,80 Falby Crt,Ajax,L1S1N4,Durham DSB,33952,Yes,,
Duffins's Bay Public School,66 Pittmann Cres,Ajax,L1S3G4,Durham DSB,5215,,,Yes
Father Donald MacLellan catholic Secondary School(Ajax) - Return Ticket,1500 HOPKINS ST,Ajax,L1S3V4,Durham CDSB,682867,Yes,,Yes
J. Clarke Richardson Collegiate,1355 Harwood Ave N,Ajax,L1T4G8,Durham DSB,918423,Yes,,
Lester B Pearson Public School,21 Coughlen St,Ajax,L1T2M9,Durham DSB,311707,Yes,,
Lincoln Alexander Public School,70 Lincoln St,Ajax,L1T2W4,Durham DSB,312983,,,Yes
Lincoln Avenue Public School,70 Lincoln St,Ajax,L1S6C9,Durham DSB,312983,Yes,,
Lord Elgin Public School,24 Ontario St,Ajax,L1S1T6,Durham DSB,321176,Yes,,
Notre Dame C.S.S.,1375 Harwood Ave N,Ajax,L1T4G8,Durham CDSB,738050,Yes,,
Notre-Dame-de-la-Jeunesse,71 Ritchie avenue,Ajax,L1S6S5,CSDC Centre-Sud,738166,Yes,,
Pickering High School,180 Church St N,Ajax,L1T2W7,Durham DSB,935310,Yes,,
Roland Michener Public School,95 Ritchie Ave,Ajax,L1S6S2,Durham DSB,489336,,,Yes
St. Bernadette C.S.,41 Bayly St E,Ajax,L1S1P2,Durham CDSB,777242,Yes,,
St. Catherine Siena Catholic School,15 Bennett Ave,Ajax,L1T3P1,Durham CDSB,781282,,,Yes
St. Jude Catholic School,68 Coles Ave,Ajax,L1T3H5,Durham CDSB,772020,Yes,,
St. Teresa of Calcutta Catholic School,15 Fishlock St,Ajax,L1Z1H1,Durham CDSB,733040,Yes,,
Vimy Ridge Public School,40 Telford Street East,Ajax,L1T4Z4,Durham DSB,92886,Yes,,
Akwesasne Mohawk School,..,Akwesasne,K6H5R7,..,…,Yes,,
Simcoe CDSBASS-Innisfil Campus,..,Alcona,L9S1Z1,..,…,Yes,Yes,Yes
E Elem C Elda-Rouleau,115 Sandfield rue,Alexandria,K0C1A0,CSDC de l'Est ontarien,753297,Yes,,
ES C Le Relais,100 McNabb rue,Alexandria,K0C1A0,CSDC de l'Est ontarien,752908,Yes,,
Glengarry DHS,212 Main Street North,Alexandria,K0C1A0,Upper Canada DSB,913219,Yes,,
St Finnan's Catholic S,220 Main St,Alexandria,K0C1A0,CDSB of Eastern Ontario,806102,Yes,,
E Elem C Saint-Victor,38 Saint-Paul rue,Alfred,K0B1A0,CSDC de l'Est ontarien,857459,Yes,,
Alliston Learning Centre,46 Wellington St W,Alliston,L9R2B8,Simcoe County DSB,941174,Yes,,
Alliston Union Public School,211 Church,Alliston,L9R1H2,Simcoe County DSB,13331,Yes,,
Banting Memorial H.S.,203 Victoria St E,Alliston,L9R1L9,Simcoe County DSB,893064,Yes,,
Ernest Cumberland E.S.,160 Eighth Ave,Alliston,L9R1J3,Simcoe County DSB,181757,Yes,,
Holy Family School,180 King St S,Alliston,L9R1B9,Simcoe Muskoka CDSB,716413,Yes,,
Simcoe CDSBASS-Alliston Campus,46 Wellington St W,Alliston,L9R1E6,Simcoe County DSB,941174,Yes,Yes,Yes
St. Paul's Elementary School - Alliston,161 Wellington St E,Alliston,L9R0G5,Simcoe Muskoka CDSB,840815,Yes,,
Alma Public School,12 Simpson St E,Alma,N0B1A0,Upper Grand DSB,438170,Yes,,
Brooke Central Elementary School,7989 Brooke Line RR 7,Alvinston,N0N1A0,Lambton Kent DSB,66370,Yes,,
Amherstburg Public School,252 Hamilton Dr,Amherstburg,N9V1E1,Greater Essex County DSB,18660,Yes,,
Anderdon Elementary School,3170 Middle Side Rd RR 4,Amherstburg,N9V2Y9,Greater Essex County DSB,19054,Yes,,
Ecole Saint-Jean-Baptiste,365 Fryer rue,Amherstburg,N9V0C3,Conseil scolaire catholique Providence,804150,Yes,,
General Amherst High School,130 Sandwich St S,Amherstburg,N9V1Z8,Greater Essex County DSB,911780,Yes,,
Public Alternative Secondary School - PASS Amherstburg Site,..,Amherstburg,N9V1E9,..,204,,,Yes
Stella Maris Catholic Elementary,140 Girard St,Amherstburg,N9V2X3,Windsor-Essex CDSB,859575,Yes,,
Western Secondary School,5791 North Townline Rd RR 4,Amherstburg,N9V2Y9,Greater Essex County DSB,951927,Yes,,
Angus Morrison E.S.,91 Simcoe St,Angus,L0M1B0,Simcoe County DSB,186236,Yes,,
Nottawasaga Pines Secondary School,8505 County Road 10,Angus,L0M1B1,Simcoe County DSB,902636,Yes,,
Our Lady of Grace Catholic E.S.,24 Roth St,Angus,L0M1B2,Simcoe Muskoka CDSB,744611,Yes,,Yes
Pine River Elementary School,45 Brian Ave,Angus,L0M1B2,Simcoe County DSB,122092,Yes,,
Simcoe CDSBASS-Essa Campus,..,Angus,L0M1B2,..,…,Yes,,Yes
Apsley Public School,238 Burleigh St,Apsley,K0L1A0,Kawartha Pine Ridge DSB,20222,Yes,,
Armstrong Elementary S,Box 89,Armstrong,P0T1A0,Lakehead DSB,21008,Yes,,
A J Charbonneau Elementary Public School,225 B Baskin Dr W RR 2,Arnprior,K7S0E3,Renfrew County DSB,18830,Yes,,Yes
Arnprior DHS,59 Ottawa St,Arnprior,K7S1X2,Renfrew County DSB,892416,Yes,,
Arnprior PAL,480 Mary St,Arnprior,K7S1X2,Renfrew County DSB,937983,Yes,,
John XXIII Sep S,75 Edey St,Arnprior,K7S1B9,Renfrew County CDSB,724076,Yes, ,Yes
Mc Nab ,1164 Stewartville Road RR2,Arnprior,K7S3G8,Renfrew County DSB,355224,Yes, , 
St. Joseph’sSep S,835 First Street,Arnprior,K7V2P6,Renfrew County CDSB,854186,Yes, ,Yes
Walter Zadow PS,79 Ottawa St,Arnprior,K7S1X2,Renfrew County DSB,90557,Yes, , 
Arthur Public School,155 Conestoga St N,Arthur,N0G1A0,Upper Grand DSB,24252,Yes,,
St. John Catholic School - Arthur,315 Tucker St,Arthur,N0G1A0,Wellington CDSB,801429,Yes,,
Youth Options - Arthur,..,Arthur,N0G1A0,..,…,Yes,,
Medway High School,14405 Medway Rd,Arva,N0M1C0,Thames Valley DSB,925560,,,Yes
Ecole elementaire St. Thomas d’Aquin,1245 Village chemin,"Astorville, ON",P0H1B0,CSDC Franco-Nord,854590,Yes,,
Athens DHS,21 Church Street,Athens,K0E1B0,Upper Canada DSB,892807,Yes,,
Atikokan High School,324 Mercury Ave E,Atikokan,P0T1C0,Rainy River DSB,892939,,,Yes
North Star Community School,209 Hawthorne Avenue,Atikokan,P0T1C0,Rainy River DSB,500445,Yes,,
St Patrick's S,160 Hemlock Ave,Atikokan,P0T1C0,Northwest CDSB,839388,Yes,,
Elma Township Public School,5972 Line 72 RR 2,Atwood,N0G1B0,Avon Maitland DSB,175170,,,Yes
Academie de la moraine,115 George rue,Aurora,L4G2S3,CS Viamonde,165468,,,Yes
Aurora Heights Public School,85 Tecumseh Dr,Aurora,L4G2X5,York Region DSB,28282,Yes,,
Aurora High School,155 Wellington St W,Aurora,L4G2P4,York Region DSB,892998,,,Yes
Devins Drive Public School,70 Devins Dr,Aurora,L4G2Z4,York Region DSB,139343,,,Yes
Dr. G.W. Williams S.S.,39 Dunning Ave,Aurora,L4G1A2,York Region DSB,905020,,,Yes
Hartman Public School,130 River Ridge Blvd,Aurora,L4G7T7,York Region DSB,23016,,,Yes
Light of Christ Catholic Elementary School,290 McClellan Way,Aurora,L4G6P3,York CDSB,726206,,,Yes
Northern Lights Public School,40 Bridgenorth Dr,Aurora,L4G7S6,York Region DSB,406139,,,Yes
Regency Acres Public School,123 Murray Dr,Aurora,L4G2C7,York Region DSB,479772,Yes,Yes,
Rick Hansen Public School,490 Mavrinac Boulevard,Aurora,L4G0J6,York Region DSB,257447,,,Yes
St. Joseph Catholic School - Aurora,2 Glass Dr,Aurora,L4G2E8,York CDSB,806366,Yes,,
Wellington Public School,125 Wellington St W,Aurora,L4G2P3,York Region DSB,28304,,,Yes
Roxmore PS,16279 Fairview Drive,Avonmore,K0C1C0,Upper Canada DSB,28851,Yes,,
Tagwi Intermed and Secondary S,16750 County Road #43,Avonmore,K0C1C0,Upper Canada DSB,91610,Yes,,
Assumption Catholic School,42 South St E,Aylmer,N5H1P6,London District Catholic School Board,688061,Yes,,
Davenport Public School,80 Rutherford Ave,Aylmer,N5H2N8,Thames Valley DSB,134236,Yes,,
East Elgin Secondary School,362 Talbot St W,Aylmer,N5H1K6,Thames Valley DSB,906581,Yes,,
Immanuel Christian School,..,Aylmer,N5H2P6,..,307,,,Yes
McGregor Public School,204 John St S,Aylmer,N5H2C8,Thames Valley DSB,351725,Yes,,
Summers Corners Public School,50576 Talbot Line RR 1,Aylmer,N5H2R1,Thames Valley DSB,329886,Yes,,
Ayr Public School,105 Hall St,Ayr ,N0B1E0,Waterloo Region DSB,29459,Yes,,
Cedar Creek Public School,55 Hilltop Dr,Ayr  ,N0B1E0,Waterloo Region DSB,89451,Yes,,
Normanby Community School,574 Louisa Street,Ayton,N0G1C0,Bluewater DSB,401129,Yes,,
E Sep Sainte-Marie,25 Marier rue,Azilda,P0M1B0,CSDC du Nouvel-Ontario,862886,Yes,,Yes
Ecole publique Franco-Nord,178 Junction avenue,Azilda,P0M1B0,CSD du Grand Nord de l'Ontario,460338,Yes,,Yes
Waterloo Oxford District Secondary School,1206 Snyder's Rd. W. RR 2,Baden ,N3A1A4,Waterloo Region DSB,951048,Yes,,
S J McLeod PS,5449 2nd Line Road RR 1,Bainsville,K0C1E0,Upper Canada DSB,307785,Yes,,
Algonquin Ridge Elementary School,191 Golden Meadow Rd,Barrie,L4N9R4,Simcoe County DSB,11584,Yes,,
Allandale Heights Public School,124 Bayview Dr,Barrie,L4N3P4,Simcoe County DSB,12971,Yes,,
Andrew Hunter P. S.,59 Lampman Lane,Barrie,L4N5G4,Simcoe County DSB,305731,Yes,,
Ardagh Bluffs P.S.,159 Summerset Drive,Barrie,L4N6H2,Simcoe County DSB,505808,Yes,,
Assikinack P.S.,226 Little Ave,Barrie,L4N6L3,Simcoe County DSB,314617,Yes,,
Barrie Learning Centre,320 Bayfield St,Barrie,L4M3C1,Simcoe County DSB,950519,Yes,,
Barrie North Collegiate,110 Grove St E,Barrie,L4M2P3,Simcoe County DSB,893323,Yes,,
Bear Creek Secondary School,100 Red Oak Dr,Barrie,L4N9M5,Simcoe County DSB,894060,Yes,,
Codrington Public School,217 Codrington St,Barrie,L4M1S4,Simcoe County DSB,114472,Yes,,
Cundles Heights Public School,60 Cundles Rd E,Barrie,L4M2Z7,Simcoe County DSB,130893,Yes,,
Eastview Secondary School,421 Grove St E,Barrie,L4M5S1,Simcoe County DSB,907383,Yes,,
Ecole elementaire catholique Frere-Andre,273 Cundles est chemin,Barrie,L4M6L1,CSDC Centre-Sud,707910,,,Yes
Ecole elementaire La Source,70 Madelaine promenade,Barrie,L4N9T2,CS Viamonde,32247,,,Yes
Ecole Secondaire Catholique Nouvelle Alliance,249 Anne nord rue,Barrie,L4N0B5,CSDC Centre-Sud,740390,Yes,Yes,
Ecole secondaire Romeo Dallaire,300 Williamson Drive East,Barrie,L4N9E9,Durham DSB,201258,Yes,,
Emma King Elementary School,383 Cundles Rd W,Barrie,L4N7C7,Simcoe County DSB,181323,Yes,,
Ferndale Woods E.S.,170 Ferndale Dr S,Barrie,L4N8A1,Simcoe County DSB,195812,Yes,,
Hewitt's Creek P.S.,41 Sandringham Drive,Barrie,L4N3P4,Simcoe County DSB,485183,Yes,,
Hillcrest Public School-Barrie,184 Toronto St,Barrie,L4N8K5,Simcoe County DSB,257346,Yes,,
Holly Meadows Elementary School,151 Mapleton Ave,Barrie,L4N9N7,Simcoe County DSB,263079,Yes,,
Hyde Park E.S.,72 The Queensway,Barrie,L4-7J3,Simcoe County DSB,225946,Yes,,
Innisdale Secondary School,95 Little Ave,Barrie,L4N2Z4,Simcoe County DSB,918253,Yes,,
Johnson Street Public School,105 Johnson St,Barrie,L4M4R4,Simcoe County DSB,285684,Yes,,
Kinark Child and Family Services - 4 Programs,865 Hugel Avenue,Barrie,L4N6J8,Simcoe County DSB,646385,Yes,Yes,
Maple Grove Public School,242 Grove St E,Barrie,L4M2P9,Simcoe County DSB,334820,Yes,,
Mapleview Heights Elementary School,180 Esther Dr,Barrie,L4N9S9,Simcoe County DSB,336289,Yes,,
Monsignor Clair School,345 Livingstone St E,Barrie,L4M7B5,Simcoe Muskoka CDSB,732311,Yes,,
Oakley Park Elementary School,22 Davidson St,Barrie,L4M3R8,Simcoe County DSB,414123,Yes,,
Portage View Public School,124 Letitia St,Barrie,L4N1P5,Simcoe County DSB,451649,Yes,,
Saint Gabriel the Archangel Catholic School,130 Prince William Way,Barrie,L4M7G4,Simcoe Muskoka CDSB,808007,Yes,,
Simcoe CDSBASS-Barrie North Campus,..,Barrie,L4M6J4,..,…,Yes,Yes,Yes
Simcoe CDSBASS-Barrie South Campus,320 Bayfield St,Barrie,L4fN-0W5,Simcoe County DSB,950519,Yes,Yes,Yes
Simcoe CDSBASS-Young Parent Program,..,Barrie,L4N0W5,..,…,Yes,Yes,Yes
Sister Catherine Donnelly,123 Hanmer St E,Barrie,L4M5W2,Simcoe Muskoka CDSB,516651,Yes,,
St. Bernadette School,101 Marsellus Dr,Barrie,L4N8R6,Simcoe Muskoka CDSB,777935,Yes,,
St. Joan of Arc High School,460 Mapleton Ave,Barrie,L4N9C2,Simcoe Muskoka CDSB,801275,Yes,Yes,
St. John Paul II-Barrie,130 Orchard Park Rd,Barrie,L4N6A3,Peterborough Victoria Northum Clarington CDSB,751383,Yes,,
St. John Vianney School,393 Innisfil St,Barrie,L4N3G7,Simcoe Muskoka CDSB,805840,Yes,,
St. Joseph's S.S.,243 Cundles Rd E,Barrie,L4M6L1,Simcoe Muskoka CDSB,813389,Yes,,
St. Marguerite d' Youville Catholic School,240 Kozlov St,Barrie,L4N7H6,Simcoe Muskoka CDSB,822566,Yes,,
"St. Mary's Catholic Elementary School, Barrie",340 Leacock Dr,Barrie,L4N6K1,Simcoe Muskoka CDSB,828335,Yes,,
St. Monica's Catholic Elementary School,90 Steel St,Barrie,L4M2E9,Simcoe Muskoka CDSB,835749,Yes,,
St. Nicholas Catholic School,100 Lougheed Rd,Barrie,L4N8E1,Simcoe Muskoka CDSB,836320,Yes,,
St. Peter's Secondary School - Barrie,201 Ashford Dr,Barrie,L4N6A3,Simcoe Muskoka CDSB,844012,Yes,Yes,
Steele Street P.S.,36 Steel St,Barrie,L4M2E7,Simcoe County DSB,535281,Yes,,
Terry Fox Elementary School,100 LIVINGSTONE ST,Barrie,L4N6X9,Simcoe County DSB,551090,Yes,,
The Good Shepherd Catholic School,23 Cloughley Dr,Barrie,L4N7Y2,Simcoe Muskoka CDSB,868914,Yes,,
Trillium Woods Public School,18 Alamo Heights Dr,Barrie,L4N0Z1,York Region DSB,561100,Yes,,
W.C. Little Elementary,11 Bear Creek Dr,Barrie,L4N9M9,Simcoe County DSB,579190,Yes,Yes,
Warnica Public School,211 Warnica Rd,Barrie,L4N3Z2,Simcoe County DSB,586846,Yes,,
West Bayfield Elementary School,49 Ford St,Barrie,L4N7J4,Simcoe County DSB,594970,Yes,,
Willow Landing Elementary School,330 Big Bay Point Rd,Barrie,L4N8A8,Simcoe County DSB,612405,Yes,,
Barry's Bay Satellitte,480 Mary St,Barry's Bay,K0J2N0,Renfrew County DSB,937983,Yes,,Yes
Madawaska Valley DHS,341 John St RR#1,Barry's Bay,K0J1B0,Renfrew County DSB,924431,Yes, , 
Sherwood PS,341 John St RR#1,Barry's Bay,K0J1B0,Renfrew County DSB,32700,Yes, ,Yes
St John Bosco Sep S,99 Peter St,Barry's Bay,K0J1B0,Renfrew County CDSB,802980,Yes, ,Yes
Beachburg PS,20 Cameron St,Beachburg,K0J1C0,Renfrew County DSB,37648,Yes, ,Yes
Beamsville Pathways - Second Chance - Connect,4317 Central Ave,Beamsville,L0R1B0,DSB Niagara,894109,Yes,,Yes
Beamsville Secondary School,4317 Central Ave,Beamsville,L0R1B0,DSB Niagara,894109,Yes,,
Senator Gibson,4944 John St,Beamsville,L0R1B6,DSB Niagara,505382,,,Yes
St. Mark,4114 Mountain St,Beamsville,L0R1B7,Niagara CDSB,823112,,,Yes
Beardmore PS,296 Walker St,Beardmore,P0T1G0,Superior-Greenstone DSB,37770,Yes,,Yes
Beaverton Public School,270 King Street West,Beaverton,L0K1A0,Durham DSB,38164,Yes,,Yes
Holy Family Catholic School- Beaverton,720 Simcoe St,Beaverton,L0K1A0,Durham CDSB,720313,,,Yes
Thorah Central Public School,B28775 Hwy 12/48 RR 2,Beaverton,L0K1A0,Durham DSB,96270,,,Yes
Monsignor J.E. Ronan Catholic School,10 Lily St E,Beeton,L0G1A0,Simcoe Muskoka CDSB,733563,Yes,,
Tecumseth Beeton Public School,43 Patterson St,Beeton,L0G1A0,Simcoe County DSB,40509,Yes,,
Belle River District High School,333 South St,Belle River,N0R1A0,Greater Essex County DSB,929727,Yes,,
St. Anne's Catholic Secondary School,1200 Oakwood Dr RR #3,Belle River,N0M1L0,Windsor-Essex CDSB,771520,Yes,,
St. John the Baptist Elementary School,494 St Peter St,Belle River,N0R1A0,Windsor-Essex CDSB,802859,Yes,,
South Dorchester Public School,48614 Crossley Hunter Line RR 1,Belmont,N0L1B0,Thames Valley DSB,142565,,,Yes
North Stormont PS,57 Cockburn Street,Berwick,K0C1G0,Upper Canada DSB,47180,Yes,,
Grandview Public School-Bethany,698 7A Hwy RR1,Bethany,L0A1A0,Trillium Lakelands DSB,227099,Yes,,
Rolling Hills P.S.,694 7A Highway RR 1,Bethany,L0A1A0,Trillium Lakelands DSB,489425,Yes,,
Bellmoore Public School,2121 Highway #56,Binbrook,L0R1C0,Hamilton-Wentworth DSB,41548,Yes,,
Cartwright Central Public School,10 Alexander St,Blackstock,L0B1B0,Durham DSB,94587,Yes,,
Blind River Public School,19 Hanes Ave,Blind River,P0R1B0,Algoma DSB,54542,Yes, , 
E Sep Saint-Joseph,44 Lawton rue,Blind River,P0R1B0,CSDC du Nouvel-Ontario,806625,Yes, , 
ES C Jeunesse-Nord,117 Colonization rue,Blind River,P0R1B0,CSDC du Nouvel-Ontario,705004,Yes, ,Yes  
St Mary's Catholic School,25 Michigan Ave,Blind River,P0R1B0,Huron-Superior CDSB,828467,Yes,,
W. C. Eaket Secondary School,147 Woodward Ave,Blind River,P0R1B0,Algoma DSB,895270,Yes, , 
Bobcaygeon Public School,30 Balaclava St,Bobcaygeon,K0M1A0,Trillium Lakelands DSB,55450,Yes,,
Allan Drive Middle School   ,254 Allan Dr,Bolton,L7E1R9,Peel DSB,11533,Yes,,
Humberview Secondary School,135 Kingsview Dr,Bolton,L7E3V8,Peel DSB,917559,Yes,,
E Sep Lorrain,245 Yonge rue,Bonfield,P0H1E0,CSDC Franco-Nord,728101,Yes,,
Ecole Marguerite Bourgeois Elementary School,117 Waterloo est chemin,Borden,L0M1C0,CSDC Centre-Sud,705411,Yes,,
Academie La Pinede,116 Waterloo est chemin,Bordon,L0M1C0,CS Viamonde,199761,Yes,,
Zone Township Central School,730 Main St N,Bothwell,N0P1C0,Lambton Kent DSB,625221,,,Yes
E Elem C Sacre-Cœur,2233 Dollard rue,Bourget,K0A1E0,CSDC de l'Est ontarien,698075,Yes,,Yes
Bowmanville High School,49 Liberty St N,Bowmanville,L1C2L8,Kawartha Pine Ridge DSB,895539,,,Yes
Central P.S. (Bowmanville),120 Wellington St,Bowmanville,L1C1V9,Kawartha Pine Ridge DSB,97187,Yes,,Yes
Clarington C.I.S.,140 High St,Bowmanville,L1C3C1,Kawartha Pine Ridge DSB,899224,Yes,,
Clarington Central Secondary School,200 Clarington Blvd,Bowmanville,L1C5N8,Kawartha Pine Ridge DSB,901687,Yes,,
Dr. Ross Tilley Public School,45 West Side Dr,Bowmanville,L1C4Y8,Kawartha Pine Ridge DSB,147826,Yes,,
Holy Family Catholic Elementary School- Bowmanville,125 Aspen Springs Dr,Bowmanville,L1C0C6,Peterborough Victoria Northum Clarington CDSB,737970,,,Yes
John M. James,175 Mearns Ave,Bowmanville,L1C5C6,Kawartha Pine Ridge DSB,357120,Yes,,
St. Elizabeth Catholic Elementary School,610 Longworth Ave,Bowmanville,L1C5B8,Peterborough Victoria Northum Clarington CDSB,788147,Yes,,
St. Joseph Catholic French Immersion Centre,90 Parkway Cres,Bowmanville,L1C1C3,Peterborough Victoria Northum Clarington CDSB,809535,,,Yes
St. Stephen's Secondary,300 Scugog St,Bowmanville,L1C3K2,Peterborough Victoria Northum Clarington CDSB,851116,Yes,,
TEAM Clarington,140 High St,Bowmanville,L1C3J6,Kawartha Pine Ridge DSB,899224,Yes,Yes,
Vincent Massey Public School- Bowmanville,10 Church St,Bowmanville,L1C1S3,Kawartha Pine Ridge DSB,578053,,,Yes
Waverley Public School-Bowmanville,168 Waverley Rd,Bowmanville,L1C3Y8,Kawartha Pine Ridge DSB,587443,Yes,,Yes
Bracebriddge Muskoka Lakes Secondary,100 Clear Brook Trail Rd,Bracebridge,P1L2E9,Trillium Lakelands DSB,895660,Yes,,
"Bracebridge Alternnative, Training and Education",..,Bracebridge,P1L1C1,..,…,Yes,,
Bracebridge Public School,90 McMurray St,Bracebridge,P1L2G1,Trillium Lakelands DSB,56758,Yes,,
Macaulay Public,1270 Cedar Lane RR 2,Bracebridge,P1L1W9,Trillium Lakelands DSB,327280,Yes,,
Monck Public,250 Wellington St,Bracebridge,P1L1C1,Trillium Lakelands DSB,368946,Yes,,
Monsignor Michael O'Leary,2 Tamarack Trail,Bracebridge,P1L1Z2,Simcoe Muskoka CDSB,733520,Yes,,
Muskoka Falls Public,42 Morrow Dr RR 3,Bracebridge,P1L0A1,Trillium Lakelands DSB,382191,Yes,,
St Dominic Catholic Secondary,955 Cedar Lane RR 7,Bracebridge,P1L0A1,Simcoe Muskoka CDSB,786691,Yes,,
Bradford District High School,70 Professor Day Dr,Bradford,L3Z2A3,Simcoe County DSB,895792,Yes,,
Bradford Learning Centre,157 Holland St. E,Bradford,L3Z2R7,Simcoe County DSB,899701,Yes,Yes,
Chris Hadfield Public School,177 Church St,Bradford,L3Z1R4,Simcoe County DSB,456756,Yes,,
Fieldcrest Elementary School,100 Professor Day Dr,Bradford,L3Z2A3,Simcoe County DSB,384550,Yes,,
Fred C. Cook Public School,177 Church St,Bradford,L3Z1L9,Simcoe County DSB,73065,Yes,,
Holy Trinity Secondary School,100 Melbourne Dr,Bradford,L3Z2B3,Simcoe Muskoka CDSB,711098,Yes,,
Honorable Earle Rowe E.S.,2516 12th Line RR 2,Bradford,L3Z2A5,Simcoe County DSB,595861,Yes,,
Mother Teresa Catholic School - Bradford,7100 Birchmount Rd,Bradford,L3Z2Z7,York CDSB,733245,Yes,,
Simcoe CDSBASS-Bradford Campus,157 Holland St. E,Bradford,L3Z1A1,Simcoe County DSB,899701,Yes,Yes,Yes
Sir William Osler Public School,3823 Cty Rd RR 1,Bradford,L3Z2A4,Simcoe County DSB,595993,Yes,,
St. Angela Merici Catholic Elementary School,109 West Park Ave,Bradford,L3ZOA5,Simcoe Muskoka CDSB,685145,Yes,,
St. Charles Catholic Elementary School,691 Simcoe Rd,Bradford,L3Z2B2,Simcoe Muskoka CDSB,782130,Yes,,
St. Jean de Brebeuf Catholic Elementary School,151 Miller Park Ave,Bradford,L3Z2K3,Simcoe Muskoka CDSB,809179,Yes,,
St. Marie of the Incarnation,105 Colborne St,Bradford,L3Z1C4,Simcoe Muskoka CDSB,824690,Yes,,
W. H. Day Elementary School,410 Maplegrove Ave,Bradford,L3Z2K7,Simcoe County DSB,585599,Yes,,
Agnes Taylor Public School,80 Beech,Brampton,L6V1V6,Peel DSB,44880,Yes,,
Archbishop Romero - Brampton Sanctuary North ,2495 Credit Valley Road,Brampton,L6T2T9,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero - CEC - Gateway,2495 Credit Valley Road,Brampton,L7A2Z5,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero - CEC - Gateway,2495 Credit Valley Road,Brampton,L7A2Z5,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero - CEC - New Start ,2495 Credit Valley Road,Brampton,L6Y4C8,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero - CEC - New Start  ,2495 Credit Valley Road,Brampton,L6Y4C8,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero - New Directions North Campus,2495 Credit Valley Road,Brampton,L6X4X7,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero - P.A.C.E. - Brampton,2495 Credit Valley Road,Brampton,L6V1N6,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero - PPC - Brampton     ,2495 Credit Valley Road,Brampton,L6V1N6,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero- Jean Vanier Brampton,2495 Credit Valley Road,Brampton,L5M 4G8,Dufferin-Peel CDSB,736228,Yes,,
Archbishop Romero-Brampton Academic Campus,2495 Credit Valley Road,Brampton,L6W3W8,Dufferin-Peel CDSB,736228,Yes,,
Arnott Charlton Public School,140 Winterfold Dr,Brampton,L6V3V8,Peel DSB,21369,Yes,,
Aylesbury Public School,25 Aylesbury Drive,Brampton,L7A0V3,Peel DSB,503560,Yes,,
Balmoral Drive Senior Public School,233 Balmoral Dr,Brampton,L6T1V5,Peel DSB,30880,Yes,,
Beatty-Fleming Sr. Public School,21 Campbell Dr,Brampton,L6X2H6,Peel DSB,37907,Yes,,
Beryl Ford Public School,45 Ironshield Drive,Brampton,L6P3N5,Peel DSB,89058,Yes,,
Beryl Ford Public School,45 Ironshield Drive,Brampton,L6P3N5,Peel DSB,89058,Yes,,
Bishop Francis Allen School,325 McMurchy Ave S,Brampton,L6Y1Z4,Dufferin-Peel CDSB,689556,Yes,,
Bramalea Secondary School,510 Balmoral Dr,Brampton,L6T1W4,Peel DSB,895920,Yes,,
Brampton Centennial Secondary School,251 McMurchy Ave S,Brampton,L6Y1Z4,Peel DSB,896055,Yes,,
Burnt Elm Public School,85 Burnt Elm Dr,Brampton,L7A1T8,Peel DSB,71781,Yes,,
Carberry Public School,526 Fernforest Drive,Brampton,L6R0W1,Peel DSB,27655,Yes,,
