School_Name,Address,City_Town,Postal_Code,School_Board,School_ID,Breakfast,Lunch,Snack
E C Don-Bosco,400 Lonergan boulevard,Timmins,P4P1C7,CSDC des Grandes Rivières,685186,Yes, , 
E C Sacre-Coeur,560 Dieppe rue,Timmins,P4N7N4,CSDC des Grandes Rivières,705322,, ,Yes
E P Lionel-Gauthier,145 St. Jean rue,Timmins,P4N3P9,CSD du Nord-Est de l'Ontario,314242,Yes, , 
E P Pavillon Renaissance,301 Shirley rue,Timmins,P4R1N5,CSD du Nord-Est de l'Ontario,469165,Yes, , 
E S C Theriault,341 Thériault boulevard,Timmins,P4N5B6,CSDC des Grandes Rivières,864650,Yes, ,Yes
Golden Avenue PS,117 Golden Avenue,Timmins,P0N1H0,DSB Ontario North East,221554,Yes, , 
La Clef,896 Riverside promenade,Timmins,P4N3W2,CSDC des Grandes Rivières,705949,Yes, , 
O’Gorman High School,150 George Ave W,Timmins,P4N5M1,Northeastern CDSB,740454,Yes, , 
O'Gorman Intermediate Catholic S,490 MacLean Dr,Timmins,P4N4W6,Northeastern CDSB,863440,Yes, , 
PACE,206 Third Avenue,Timmins,P4N1E1,DSB Ontario North East,933287,Yes, , 
Pinecrest PS,542 Toke St,Timmins,P4N6W1,DSB Ontario North East,445061,Yes, , 
R Ross Beattie Sr PS,300 Pearl Ave,Timmins,P4N7K2,DSB Ontario North East,468371,Yes, , 
Sacred Heart Catholic School,401 Cedar,Timmins,P4N2H7,Northeastern CDSB,759171,Yes,,
St. Paul,387 Balsam St N,Timmins,P4N6H5,Northeastern CDSB,841811,Yes,,
Timmins Centennial PS,545 Wilcox St,Timmins,P4N3K5,DSB Ontario North East,270291,Yes,,Yes
Timmins H & VS,451 Theriault Blvd,Timmins,P4N8B2,DSB Ontario North East,948578,Yes,,
W Earle Miller PS,200 Victoria Ave,Timmins,P4N8H3,DSB Ontario North East,361747,Yes,,
St. Edmunds Public School,21 Centennial Drive,Tobermory,N0H2R0,Bluewater DSB,529826,Yes,,
St Joseph CES,80 County Rd 1,Toledo,K0E1Y0,CDSB of Eastern Ontario,725374,Yes,,
Académie Alexandre-Dumas,255 Coronation promenade,Toronto,M1E2J3,CS Viamonde,23549,Yes,,
Africentric Alternative School,1430 Sheppard Avenue West,Toronto,M3M2W9,Toronto DSB,344930,Yes,,
Agincourt Jr. PS,29 Lockie Ave,Toronto,..,Toronto DSB,4499,Yes,,
Albert Campbell CI ,1550 Sandhurst Circle,Toronto,M1V1S6,Toronto DSB,890880,Yes,,
Alexander Muir/Gladstone PS,108 Gladstone Ave,Toronto,M6J3L2,Toronto DSB,9172,Yes,,
Alexmuir Jr. School,95 Alexmuir Blvd,Toronto,M1V1H6,Toronto DSB,11088,Yes,,
ALPHA Alternative School,20 Brant St,Toronto,M5V2M1,Toronto DSB,13943,Yes,,
Alpha II Alternative School,..,Toronto,M6H1M9,..,…,Yes,,
Alternative - ACCESS  (Terraview / Pharmacy),..,Toronto,M2M1C8,..,…,,Yes,Yes
Alternative - Barrhead Program,..,Toronto,M2M1C8,..,…,Yes,Yes,
Alternative - C&SS,..,Toronto,M2M1C8,..,…,Yes,Yes,
Alternative - CAP Bridges,..,Toronto,M2M1C8,..,…,Yes,Yes,
Alternative - CAP Heather,..,Toronto,M2M1C8,..,…,,Yes,Yes
Alternative - Fairbank Memorial Alternative (formerly Alternative - Essex @ Brockton ),..,Toronto,M2M1C8,..,…,Yes,Yes,Yes
Alternative - North West Year Round School,425 Patricia Avenue,Toronto,M2R2N1,Toronto DSB,932812,Yes,Yes,Yes
Alternative - PASS Program @ Fair Meadow,..,Toronto,M2M1C8,..,…,Yes,Yes,Yes
Alternative - SALC (Cloverdale),..,Toronto,M2M1C8,..,…,Yes,Yes,
Alternative - STAR Alternative Program,..,Toronto,M2M1C8,..,…,Yes,Yes,
Alternative - WRAP - West Region Attendance Program @ Gulfstream PS,..,Toronto,M2M1C8,..,…,Yes,Yes,
Alternative Scarborough Education 1 (ASE1),60 BrimortonDr,Toronto,M1P3Z1,Toronto DSB,892475,Yes,,
Ambassador School,..,Toronto,M6P4A9,..,…,Yes,Yes,Yes
Anson Park P.S.,30 MacDuff Cres,Toronto,M1M1X5,Toronto DSB,19704,Yes,,
Anson S. Taylor Jr. P.S.,..,Toronto,M1S4C5,..,…,Yes,,
Archbishop Romero Catholic SS,99 Humber Blvd,Toronto,M6L2H4,Toronto CDSB,685550,Yes,Yes,
Avondale Alternative School,171 Avondale Ave,Toronto,M2M2B3,Toronto DSB,14036,Yes,,
Bais Yaakov Elementary School,..,Toronto,M6A2G4,..,…,Yes,Yes,
Berner Trail Jr PS,120 Berner Trail,Toronto,M1B1B3,Toronto DSB,45446,Yes, , 
Beverley School,64 Baldwin St,Toronto,M5T1L4,Toronto DSB,670413,Yes, , 
Birch Cliff Heights Public School,120 Highview Ave,Toronto,M1N2J1,Toronto DSB,49476,Yes, , 
